iter	Passed	Remaining
0	10	10572
1	13	6831
2	16	5602
3	20	5130
4	23	4672
5	26	4449
6	30	4371
7	35	4348
8	37	4174
9	41	4091
10	45	4116
11	48	4031
12	51	3919
13	55	3904
14	58	3841
15	61	3807
16	65	3778
17	69	3786
18	73	3803
19	78	3859
20	81	3794
21	84	3736
22	87	3707
23	90	3661
24	93	3648
25	97	3660
26	101	3648
27	104	3641
28	107	3613
29	111	3592
30	114	3591
31	118	3584
32	121	3555
33	124	3540
34	128	3547
35	132	3541
36	136	3548
37	138	3511
38	141	3480
39	144	3461
40	146	3433
41	149	3416
42	152	3404
43	155	3375
44	157	3345
45	160	3323
46	162	3298
47	165	3292
48	168	3271
49	170	3246
50	173	3223
51	175	3203
52	177	3179
53	180	3158
54	182	3138
55	185	3119
56	187	3097
57	189	3083
58	193	3082
59	196	3081
60	199	3077
61	202	3063
62	205	3051
63	208	3046
64	210	3028
65	212	3007
66	214	2992
67	217	2980
68	219	2961
69	221	2943
70	224	2931
71	226	2923
72	229	2916
73	232	2912
74	235	2902
75	237	2886
76	239	2871
77	241	2856
78	243	2841
79	245	2824
80	247	2809
81	249	2795
82	251	2781
83	254	2771
84	256	2761
85	258	2749
86	261	2741
87	263	2732
88	266	2723
89	268	2715
90	270	2704
91	273	2696
92	275	2687
93	277	2678
94	280	2670
95	282	2663
96	284	2652
97	288	2651
98	290	2645
99	293	2637
100	295	2630
101	298	2625
102	301	2623
103	304	2625
104	308	2626
105	311	2625
106	314	2623
107	317	2621
108	321	2626
109	326	2640
110	333	2672
111	337	2679
112	343	2693
113	349	2716
114	357	2753
115	367	2802
116	372	2810
117	377	2824
118	382	2828
119	386	2833
120	391	2844
121	396	2851
122	401	2862
123	408	2885
124	413	2897
125	419	2908
126	428	2944
127	453	3092
128	459	3101
129	463	3104
130	470	3119
131	475	3127
132	485	3161
133	490	3169
134	495	3176
135	504	3205
136	512	3230
137	518	3236
138	525	3254
139	531	3262
140	535	3260
141	539	3259
142	543	3254
143	547	3256
144	556	3284
145	562	3291
146	568	3298
147	572	3297
148	577	3297
149	581	3293
150	589	3313
151	594	3317
152	599	3318
153	604	3323
154	611	3332
155	617	3339
156	625	3358
157	630	3361
158	635	3359
159	640	3364
160	646	3368
